businessdate,namedpnl,namedpnlid,businessarea,bofc_completedon,fobo_completedon,bofc_status,fobo_status,vpsignoffutc,vpsignoffby,vpsignoffcount,vpsignoff_bofc_hours,sla_bofc,feed_source,feed_available_at,feed_sla,feed_on_time,issue_type,namedpnlname,masterbookid,masterbookname,feedname,region,syey_id,msbk_id,avg_deltimepc,max_deltimepc,min_deltimepc,avg_completedon,max_completedon,min_completedon,duration_avg,duration_max,duration_min,delay_flag
2025-10-06,Alpha Conduit Revenue,PNL001,Rates Trading,2025-10-06 06:15:00,2025-10-06 07:00:00,Complete,Complete,2025-10-06 09:30:00,John Smith,1,7.35,10:00:00,Bloomberg,2025-10-06 04:03:00,05:30:00,Y,sign_off_delayed,Alpha Conduit Revenue,BK-RT-001,Rates Flow Book,Bloomberg B-PIPE,NAM,SYEY-10001,BK-RT-001,2:30:00 PM,3:00:00 PM,1:02:00 PM,4:31:00 PM,5:26:00 PM,3:57:00 PM,6.88,8.85,6.13,Y
2025-10-06,Beta Trading Book,PNL002,Credit Trading,2025-10-06 07:30:00,2025-10-06 08:15:00,Complete,Complete,2025-10-06 11:00:00,Sarah Lee,1,3.53,11:00:00,Murex,2025-10-06 04:43:00,06:00:00,Y,green,Beta Trading Book,BK-CT-001,Credit Flow Book,Murex MX.3 EOD,EMEA,SYEY-10002,BK-CT-001,1:58:00 PM,2:32:00 PM,1:29:00 PM,3:37:00 PM,4:00:00 PM,2:22:00 PM,4.27,6.57,3.2,N
2025-10-06,Gamma Advisory Fund,PNL003,Equities,2025-10-06 08:00:00,2025-10-06 09:30:00,Complete,Complete,2025-10-06 12:00:00,Mike Chen,1,5.57,10:30:00,Calypso,2025-10-06 03:34:00,05:00:00,Y,sign_off_delayed,Gamma Advisory Fund,BK-EQ-001,Equity Advisory Book,Calypso Risk Feed,APAC,SYEY-10003,BK-EQ-001,3:09:00 PM,3:34:00 PM,1:49:00 PM,5:05:00 PM,5:55:00 PM,4:16:00 PM,7.97,9.94,7.54,Y
2025-10-06,Delta CMBS Portfolio,PNL004,Securitized Products,2025-10-06 05:45:00,2025-10-06 06:20:00,Complete,Complete,2025-10-06 08:00:00,Rachel Kim,1,1.58,11:30:00,Intex,2025-10-06 06:17:00,06:30:00,Y,green,Delta CMBS Portfolio,BK-SP-001,CMBS Trading Book,Intex CDOnet Feed,NAM,SYEY-10004,BK-SP-001,4:39:00 PM,5:53:00 PM,3:41:00 PM,7:12:00 PM,8:00:00 PM,6:31:00 PM,1.54,2.09,0.5,N
2025-10-06,Epsilon RMBS Trust,PNL005,Securitized Products,2025-10-06 09:00:00,2025-10-06 10:15:00,Complete,Complete,2025-10-06 14:00:00,David Park,1,2.63,11:30:00,Intex,2025-10-06 08:14:00,06:30:00,N,feed_delayed_recovered,Epsilon RMBS Trust,BK-SP-002,RMBS Trust Book,Intex CDOnet Feed,EMEA,SYEY-10005,BK-SP-002,2:27:00 PM,2:46:00 PM,1:32:00 PM,3:46:00 PM,4:35:00 PM,3:06:00 PM,2.41,3.61,1.02,N
2025-10-13,Alpha Conduit Revenue,PNL001,Rates Trading,2025-10-13 06:30:00,2025-10-13 07:15:00,Complete,Complete,2025-10-13 09:45:00,John Smith,1,3.93,10:00:00,Bloomberg,2025-10-13 04:35:00,05:30:00,Y,green,Alpha Conduit Revenue,BK-RT-001,Rates Flow Book,Bloomberg B-PIPE,NAM,SYEY-10001,BK-RT-001,1:21:00 PM,2:50:00 PM,12:33:00 PM,3:45:00 PM,4:14:00 PM,2:49:00 PM,1.72,4.19,0.5,N
2025-10-13,Beta Trading Book,PNL002,Credit Trading,2025-10-13 07:00:00,2025-10-13 08:00:00,Complete,Complete,2025-10-13 10:30:00,Sarah Lee,1,3.09,11:00:00,Bloomberg,2025-10-13 06:35:00,06:00:00,N,feed_delayed_recovered,Beta Trading Book,BK-CT-001,Credit Flow Book,Bloomberg B-PIPE,EMEA,SYEY-10002,BK-CT-001,2:45:00 PM,3:56:00 PM,2:16:00 PM,5:22:00 PM,6:38:00 PM,5:00:00 PM,2.15,4.02,1.17,N
2025-10-13,Gamma Advisory Fund,PNL003,Equities,2025-10-13 08:15:00,,Complete,Failed,,Mike Chen,0,4.37,10:30:00,Fidessa,2025-10-13 03:57:00,05:00:00,Y,green,Gamma Advisory Fund,BK-EQ-001,Equity Advisory Book,Fidessa Market Data,APAC,SYEY-10003,BK-EQ-001,1:59:00 PM,2:52:00 PM,1:05:00 PM,3:12:00 PM,4:41:00 PM,2:31:00 PM,5.56,7.33,4.61,Y
2025-10-13,Delta CMBS Portfolio,PNL004,Securitized Products,2025-10-13 06:00:00,2025-10-13 06:45:00,Complete,Complete,2025-10-13 08:15:00,Rachel Kim,1,1.79,11:30:00,Bloomberg,2025-10-13 05:48:00,06:30:00,Y,green,Delta CMBS Portfolio,BK-SP-001,CMBS Trading Book,Bloomberg B-PIPE,NAM,SYEY-10004,BK-SP-001,2:51:00 PM,3:39:00 PM,1:27:00 PM,4:48:00 PM,6:16:00 PM,4:09:00 PM,2.4,4.23,0.54,N
2025-10-13,Epsilon RMBS Trust,PNL005,Securitized Products,2025-10-13 09:30:00,2025-10-13 10:30:00,Complete,Complete,2025-10-13 13:00:00,David Park,1,7.32,11:30:00,Intex,2025-10-13 05:05:00,06:30:00,Y,sign_off_delayed,Epsilon RMBS Trust,BK-SP-002,RMBS Trust Book,Intex CDOnet Feed,EMEA,SYEY-10005,BK-SP-002,4:18:00 PM,5:13:00 PM,3:40:00 PM,5:59:00 PM,6:37:00 PM,5:11:00 PM,4.44,6.43,3.19,N
2025-10-20,Alpha Conduit Revenue,PNL001,Rates Trading,2025-10-20 06:45:00,2025-10-20 07:30:00,Complete,Complete,2025-10-20 10:00:00,John Smith,1,6.32,10:00:00,Reuters,2025-10-20 06:33:00,05:30:00,N,critical,Alpha Conduit Revenue,BK-RT-001,Rates Flow Book,Reuters Datascope,NAM,SYEY-10001,BK-RT-001,2:49:00 PM,3:05:00 PM,1:41:00 PM,4:36:00 PM,5:24:00 PM,3:10:00 PM,7.32,7.95,6.19,Y
